,id,venue,genre,date,price
0,0,Fryshuset,R&B,2018-04-13,560.35
1,1,Münchenbryggeriet,Hip-hop,2025-05-12,798.95
2,2,Berns Salonger,Rock,2015-11-18,520.58
3,3,Annexet,Indie,2024-01-03,658.99
4,4,Annexet,Electronic,2015-07-24,639.61
5,5,Kägelbanan,Jazz,2024-02-28,529.86
6,6,Fryshuset,Jazz,2020-08-07,341.72
7,7,Cirkus,Rock,2020-08-25,721.98
8,8,Nalen,R&B,2017-12-16,688.57
9,9,Fryshuset,Classical,2015-01-16,759.04
10,10,Avicii Arena,Indie,2022-11-19,970.92
11,11,Klubben,R&B,2016-05-26,956.8
12,12,Cirkus,Indie,2017-05-04,283.23
13,13,Münchenbryggeriet,Folk,2018-01-28,567.94
14,14,Cirkus,R&B,2024-03-26,1110.55
15,15,Münchenbryggeriet,Jazz,2024-06-01,1149.29
16,16,Avicii Arena,Classical,2022-10-20,797.66
17,17,Fryshuset,Jazz,2019-01-19,609.38
18,18,Kägelbanan,Hip-hop,2026-03-16,393.38
19,19,Annexet,Folk,2023-09-25,740.56
20,20,Avicii Arena,Metal,2025-05-06,968.74
21,21,Södra Teatern,Pop,2022-02-10,264.1
22,22,Nalen,Electronic,2015-05-27,1108.12
23,23,Klubben,Metal,2018-11-05,277.44
24,24,Münchenbryggeriet,Pop,2020-08-13,778.99
25,25,Berns Salonger,Classical,2017-08-04,1182.51
26,26,Södra Teatern,Classical,2016-03-26,471.65
27,27,Münchenbryggeriet,Hip-hop,2026-07-14,386.34
28,28,Avicii Arena,Classical,2023-07-11,510.69
29,29,Annexet,Jazz,2023-11-16,738.47
30,30,Annexet,Pop,2016-03-11,599.64
31,31,Nalen,Classical,2021-01-27,208.0
32,32,Fryshuset,Rock,2018-03-17,1126.21
33,33,Avicii Arena,Electronic,2026-02-18,660.91
34,34,Kägelbanan,R&B,2025-01-05,817.79
35,35,Debaser,Metal,2022-08-11,448.37
36,36,Kägelbanan,Folk,2016-03-20,600.6
37,37,Münchenbryggeriet,Metal,2020-01-03,961.11
38,38,Slaktkyrkan,R&B,2016-08-27,543.62
39,39,Berns Salonger,Jazz,2019-08-23,158.91
40,40,Fryshuset,Classical,2021-09-24,856.81
41,41,Münchenbryggeriet,R&B,2022-04-16,979.98
42,42,Cirkus,Metal,2023-06-16,156.31
43,43,Södra Teatern,Electronic,2026-06-04,301.78
44,44,Debaser,Rock,2022-12-04,282.55
45,45,Klubben,Hip-hop,2026-01-10,399.06
46,46,Annexet,Indie,2023-10-02,1052.72
47,47,Kägelbanan,Folk,2015-12-21,592.04
48,48,Cirkus,Electronic,2025-12-27,1116.21
49,49,Münchenbryggeriet,Folk,2026-10-23,1004.58
50,50,Münchenbryggeriet,Pop,2016-03-15,189.91
51,51,Nalen,Pop,2018-06-21,1067.05
52,52,Södra Teatern,Pop,2023-12-07,972.0
53,53,Annexet,Classical,2016-12-03,565.72
54,54,Annexet,Classical,2025-10-30,463.87
55,55,Debaser,Hip-hop,2016-10-25,394.75
56,56,Avicii Arena,Jazz,2024-08-03,872.9
57,57,Fryshuset,Pop,2025-08-27,903.16
58,58,Cirkus,Rock,2016-09-11,1172.56
59,59,Cirkus,Hip-hop,2019-04-29,1188.42
60,60,Klubben,Folk,2022-10-28,968.01
61,61,Cirkus,Metal,2020-03-31,584.01
62,62,Södra Teatern,Metal,2025-08-24,525.51
63,63,Klubben,Jazz,2026-02-26,1196.24
64,64,Södra Teatern,Folk,2018-09-23,370.61
65,65,Slaktkyrkan,Jazz,2022-03-21,284.89
66,66,Kägelbanan,Indie,2023-04-10,392.11
67,67,Södra Teatern,Classical,2016-10-13,717.88
68,68,Debaser,R&B,2015-12-19,473.64
69,69,Annexet,Hip-hop,2019-09-01,1172.98
70,70,Münchenbryggeriet,Hip-hop,2018-05-05,532.37
71,71,Nalen,Rock,2023-08-24,904.59
72,72,Annexet,Jazz,2021-03-24,426.1
73,73,Fryshuset,Metal,2025-05-01,568.79
74,74,Cirkus,R&B,2022-04-06,694.68
75,75,Annexet,R&B,2024-04-07,576.95
76,76,Slaktkyrkan,Metal,2025-10-08,428.01
77,77,Nalen,Indie,2024-12-03,438.98
78,78,Avicii Arena,Classical,2015-10-10,1134.29
79,79,Cirkus,R&B,2025-03-27,511.05
80,80,Klubben,Folk,2021-10-15,894.81
81,81,Annexet,Pop,2020-11-20,985.36
82,82,Fryshuset,Rock,2019-07-20,650.0
83,83,Münchenbryggeriet,Indie,2022-10-01,736.34
84,84,Berns Salonger,Indie,2020-08-29,1084.15
85,85,Cirkus,Folk,2024-10-13,843.58
86,86,Fryshuset,R&B,2016-03-20,251.53
87,87,Slaktkyrkan,Rock,2022-02-08,418.45
88,88,Münchenbryggeriet,Electronic,2024-06-07,531.8
89,89,Münchenbryggeriet,Jazz,2018-05-18,323.36
90,90,Annexet,Pop,2020-02-06,995.98
91,91,Münchenbryggeriet,Rock,2015-10-09,1077.5
92,92,Kägelbanan,Metal,2026-01-05,1196.78
93,93,Södra Teatern,Folk,2025-06-18,1093.27
94,94,Kägelbanan,Jazz,2020-06-30,960.39
95,95,Slaktkyrkan,Electronic,2020-05-20,861.55
96,96,Nalen,Electronic,2024-04-04,816.11
97,97,Cirkus,Hip-hop,2023-09-26,178.7
98,98,Berns Salonger,Electronic,2024-12-05,637.12
99,99,Fryshuset,Folk,2016-03-11,680.1
100,100,Münchenbryggeriet,Classical,2024-05-04,528.78
101,101,Nalen,Electronic,2025-04-02,569.9
102,102,Münchenbryggeriet,Rock,2021-11-09,1176.84
103,103,Debaser,Hip-hop,2015-01-28,703.21
104,104,Münchenbryggeriet,Electronic,2025-10-02,880.4
105,105,Münchenbryggeriet,Rock,2016-10-08,1125.63
106,106,Münchenbryggeriet,Electronic,2022-01-06,188.2
107,107,Berns Salonger,Classical,2025-12-05,1120.72
108,108,Annexet,Hip-hop,2016-10-06,187.92
109,109,Cirkus,Rock,2016-06-04,1141.76
110,110,Slaktkyrkan,Jazz,2022-10-05,321.98
111,111,Münchenbryggeriet,Indie,2021-06-27,158.11
112,112,Avicii Arena,R&B,2026-07-24,473.39
113,113,Annexet,Jazz,2026-10-30,161.45
114,114,Avicii Arena,Pop,2024-12-05,625.47
115,115,Avicii Arena,Metal,2020-08-17,696.3
116,116,Debaser,R&B,2026-10-25,456.08
117,117,Fryshuset,Indie,2015-04-12,660.31
118,118,Nalen,Classical,2021-04-05,724.71
119,119,Fryshuset,Classical,2019-09-14,150.33
120,120,Annexet,Indie,2015-08-13,470.43
121,121,Cirkus,Indie,2024-10-14,435.16
122,122,Berns Salonger,Pop,2018-04-23,381.88
123,123,Annexet,Rock,2018-11-05,570.23
124,124,Kägelbanan,Electronic,2023-08-25,914.93
125,125,Avicii Arena,Classical,2025-06-08,492.21
126,126,Debaser,Rock,2017-12-23,488.99
127,127,Münchenbryggeriet,Folk,2020-05-21,336.11
128,128,Avicii Arena,Folk,2023-12-05,1084.41
129,129,Berns Salonger,Hip-hop,2018-01-27,886.74
130,130,Avicii Arena,Folk,2016-07-25,999.63
131,131,Avicii Arena,Classical,2018-12-26,1007.01
132,132,Fryshuset,Indie,2025-05-10,182.87
133,133,Avicii Arena,Classical,2023-01-11,761.21
134,134,Münchenbryggeriet,Rock,2017-01-03,154.99
135,135,Slaktkyrkan,R&B,2016-07-14,733.31
136,136,Berns Salonger,Hip-hop,2017-08-07,1027.13
137,137,Debaser,Indie,2016-06-11,822.79
138,138,Södra Teatern,Rock,2021-11-07,660.15
139,139,Annexet,R&B,2017-10-18,656.14
140,140,Klubben,Rock,2022-12-15,546.62
141,141,Nalen,Hip-hop,2015-07-17,328.93
142,142,Slaktkyrkan,R&B,2019-12-20,1190.37
143,143,Södra Teatern,Folk,2017-08-02,372.33
144,144,Klubben,Electronic,2016-09-09,372.41
145,145,Kägelbanan,Folk,2026-01-08,194.05
146,146,Debaser,Hip-hop,2017-05-02,358.06
147,147,Nalen,Metal,2018-03-17,619.03
148,148,Münchenbryggeriet,Indie,2022-04-04,274.97
149,149,Debaser,Indie,2023-10-14,932.23
150,150,Kägelbanan,Rock,2015-06-23,285.02
151,151,Slaktkyrkan,Hip-hop,2022-04-23,749.97
152,152,Klubben,R&B,2021-12-21,409.83
153,153,Slaktkyrkan,R&B,2019-05-23,660.65
154,154,Annexet,Pop,2026-09-02,238.46
155,155,Berns Salonger,Pop,2019-11-15,384.32
156,156,Fryshuset,Indie,2019-05-27,151.23
157,157,Avicii Arena,Classical,2025-01-29,825.0
158,158,Avicii Arena,Rock,2025-02-10,416.22
159,159,Münchenbryggeriet,Folk,2023-02-24,164.43
160,160,Klubben,Folk,2024-11-12,516.75
161,161,Berns Salonger,Classical,2015-09-20,458.64
162,162,Södra Teatern,Jazz,2023-03-29,381.52
163,163,Södra Teatern,Classical,2025-06-19,201.82
164,164,Annexet,Pop,2023-06-23,909.47
165,165,Münchenbryggeriet,Folk,2016-06-12,281.21
166,166,Slaktkyrkan,Hip-hop,2016-02-15,578.12
167,167,Nalen,R&B,2024-07-21,763.25
168,168,Södra Teatern,Hip-hop,2018-10-03,993.39
169,169,Debaser,Pop,2015-08-29,883.65
170,170,Fryshuset,Electronic,2025-10-04,222.24
171,171,Fryshuset,Metal,2016-03-29,155.29
172,172,Münchenbryggeriet,Jazz,2015-09-14,856.77
173,173,Cirkus,R&B,2015-10-28,633.57
174,174,Cirkus,Classical,2015-01-17,906.88
175,175,Annexet,Pop,2025-02-24,1197.72
176,176,Cirkus,Metal,2019-07-21,257.07
177,177,Fryshuset,Electronic,2023-10-01,592.53
178,178,Kägelbanan,Indie,2026-09-03,821.62
179,179,Avicii Arena,R&B,2021-09-23,939.72
180,180,Klubben,Classical,2018-08-29,682.65
181,181,Fryshuset,Folk,2021-04-22,965.91
182,182,Annexet,Classical,2020-12-09,479.41
183,183,Cirkus,Electronic,2016-10-15,482.21
184,184,Annexet,Electronic,2017-06-19,497.25
185,185,Annexet,Indie,2022-06-18,309.87
186,186,Fryshuset,R&B,2015-04-04,691.88
187,187,Södra Teatern,Rock,2022-07-31,487.59
188,188,Nalen,Rock,2020-03-10,240.17
189,189,Slaktkyrkan,Pop,2020-02-28,327.86
190,190,Cirkus,Folk,2026-08-27,958.41
191,191,Berns Salonger,Pop,2022-08-19,863.24
192,192,Berns Salonger,Classical,2021-10-30,282.35
193,193,Södra Teatern,Indie,2021-03-10,581.93
